Strike,Time,Ticker,Bid,Ask,Last,Volm,ExDt,IVM,DyEx,CSze,Ccy,Rate,Mny,DvYd,Mid
20-Sep-24 (23d); CSize 100,,,,,,,,,,,,,,,
260,,ROG 9/20/24 C260,22.6499938964844,23.3000030517578,0.0,0.0,09/20/24,27.2605037689209,0.0,100.0,CHF,,92.1332388377038,,22.9749984741211
265,,ROG 9/20/24 C265,18.1499938964844,18.75,0.0,0.0,09/20/24,25.3144435882568,0.0,100.0,CHF,,93.905031892275,,18.4499969482422
270,,ROG 9/20/24 C270,14.0,14.5500001907349,0.0,0.0,09/20/24,23.9889678955078,0.0,100.0,CHF,,95.6768249468462,,14.2749996185303
275,,ROG 9/20/24 C275,10.3000001907349,10.8500003814697,0.0,0.0,09/20/24,23.0945625305176,0.0,100.0,CHF,,97.4486180014174,,10.5750007629394
280,,ROG 9/20/24 C280,7.19999980926514,7.69999980926514,8.25,304.0,09/20/24,22.4563903808594,0.0,100.0,CHF,,99.2204110559887,,7.44999980926514
285,,ROG 9/20/24 C285,4.90000057220459,5.30000019073486,5.05000019073486,9.0,09/20/24,22.4642066955566,0.0,100.0,CHF,,100.99220411056,,5.10000038146973
290,,ROG 9/20/24 C290,3.25,3.55000019073486,3.60999965667725,317.0,09/20/24,22.7378253936768,0.0,100.0,CHF,,102.763997165131,,3.40000009536743
295,,ROG 9/20/24 C295,2.07999992370606,2.35999965667725,2.10999965667725,82.0,09/20/24,23.1524906158447,0.0,100.0,CHF,,104.535790219702,,2.21999979019165
300,,ROG 9/20/24 C300,1.31999969482422,1.56999969482422,0.0,0.0,09/20/24,23.7434005737305,0.0,100.0,CHF,,106.307583274274,,1.44499969482422
20-Sep-24 (23d); CSize 100,,,,,,,,,,,,,,,
260,,ROGE 9/20/24 C260,21.2999877929688,24.3999938964844,0.0,0.0,09/20/24,21.8497200012207,0.0,100.0,CHF,,92.1332388377038,,22.8499908447266
265,,ROGE 9/20/24 C265,16.8499908447266,19.8499908447266,0.0,0.0,09/20/24,21.6522216796875,0.0,100.0,CHF,,93.905031892275,,18.3499908447266
270,,ROGE 9/20/24 C270,12.6999998092651,15.6999998092651,0.0,0.0,09/20/24,21.4881896972656,0.0,100.0,CHF,,95.6768249468462,,14.1999998092651
275,,ROGE 9/20/24 C275,9.0,12.0,0.0,0.0,09/20/24,21.246244430542,0.0,100.0,CHF,,97.4486180014174,,10.5
280,,ROGE 9/20/24 C280,5.89999961853027,8.89999961853027,0.0,0.0,09/20/24,21.1122169494629,0.0,100.0,CHF,,99.2204110559887,,7.39999961853027
285,,ROGE 9/20/24 C285,3.47999954223633,6.44999980926514,0.0,0.0,09/20/24,21.0848522186279,0.0,100.0,CHF,,100.99220411056,,4.96499967575073
290,,ROGE 9/20/24 C290,1.73999977111816,4.73999977111816,0.0,0.0,09/20/24,21.3909568786621,0.0,100.0,CHF,,102.763997165131,,3.23999977111816
295,,ROGE 9/20/24 C295,0.560000002384186,3.55999946594238,0.0,0.0,09/20/24,21.8120594024658,0.0,100.0,CHF,,104.535790219702,,2.05999970436096
300,,ROGE 9/20/24 C300,1.1299991607666,4.05000019073486,0.0,0.0,09/20/24,28.8963623046875,0.0,100.0,CHF,,106.307583274274,,2.58999967575073
20-Sep-24 (23d); CSize 100,,,,,,,,,,,,,,,
260,,ROGO 9/20/24 C260,22.5,23.0499992370606,22.6999969482422,0.0,09/20/24,25.8522930145264,0.0,100.0,CHF,,92.1332388377038,,22.7749996185303
265,,ROGO 9/20/24 C265,18.0,18.5499992370606,18.25,0.0,09/20/24,24.3417510986328,0.0,100.0,CHF,,93.905031892275,,18.2749996185303
